circuit,rank,bitstring,count,probability
original,1,11011111,8083,0.9866943359375
original,2,11011100,32,0.00390625
original,3,11011101,27,0.0032958984375
original,4,11010110,14,0.001708984375
original,5,11010100,6,0.000732421875
transpiled_nassc,1,11011111,8098,0.988525390625
transpiled_nassc,2,11011100,29,0.0035400390625
transpiled_nassc,3,11010110,14,0.001708984375
transpiled_nassc,4,11011101,13,0.0015869140625
transpiled_nassc,5,11110110,5,0.0006103515625
