circuit,rank,bitstring,count,probability
original,1,11011111,4313,0.5264892578125
original,2,11111111,2553,0.3116455078125
original,3,11011101,156,0.01904296875
original,4,10011111,147,0.0179443359375
original,5,11011110,138,0.016845703125
transpiled_nassc,1,11011111,6197,0.7564697265625
transpiled_nassc,2,11011110,353,0.0430908203125
transpiled_nassc,3,11111111,315,0.0384521484375
transpiled_nassc,4,11001111,242,0.029541015625
transpiled_nassc,5,11010111,211,0.0257568359375
